Date,raw,rm,w7
2016-08-26,0.0009904432551677935,-0.0003433069450579213,0.002011128147707321
2016-08-29,0.0017342756767025737,0.001994829531573395,0.0015521909089883752
2016-08-30,-0.0035352468042245872,-0.0033694661285692254,-0.0035327081516705046
2016-08-31,0.0021890882278414936,0.0025977864499384952,0.0006010650403940144
2016-09-01,0.0028927457724206617,0.0030115686271075977,0.0001743755362490092
2016-09-02,-0.0005757535527264171,-5.4894353848535874e-05,-0.0010016250581206438
2016-09-06,-0.0009655377872274203,-0.0005991421633740823,-0.0005445391961895113
2016-09-07,-0.0028549630138917795,-0.0030578070244021744,-0.0022388976361953426
2016-09-08,-0.004363819901278525,-0.004042032883964148,-0.0018604811380569094
2016-09-09,-0.004052890986203926,-0.004020208221754747,-0.0036864539003615727
2016-09-12,0.00015844750013160143,0.00022643966956556883,0.0009535267716761208
2016-09-13,0.0006379055506998242,0.0008336574549071725,-0.001414397149804385
2016-09-14,0.003424260488703531,0.003205693737161064,0.0021688944709966074
2016-09-15,0.0012644751119423939,0.0006205034489660273,0.003958415413899765
2016-09-16,0.0001274401031072601,-5.179121718426437e-05,-0.0004906360348460174
2016-09-19,0.002127326460094859,0.0021005083244971363,0.0009029427090858969
2016-09-20,-0.001819981705009365,-0.0015286534647478193,-0.0028564123428190796
2016-09-21,0.0030869304445785093,0.0026065939490041816,0.005002917966311099
2016-09-22,-0.0001072147084422011,0.00019318776084044289,-5.1408113140583226e-05
2016-09-23,0.0010755090093218793,0.0013556030029858721,-0.0018604267078641324
2016-09-26,0.0020764035720343054,0.0019503381998035123,0.00012430816184916873
2016-09-27,0.0011618365342067035,0.0005714160644831029,0.002495670462022298
2016-09-28,0.0009254503389091163,0.0004730619219846909,0.004428854749016091
2016-09-29,0.0029264205337468175,0.002205933135953189,0.003396549311900793
2016-09-30,-0.0003042728615671951,-0.001129930237519379,0.0029478807398434126
2016-10-03,-0.0015396331046939491,-0.0017872695347688071,-0.0006824677938228441
2016-10-04,-0.0028940833259842457,-0.003190244319283558,0.0003531533946163414
2016-10-05,-0.001761314307696713,-0.002412028404776464,0.001707457648407868
2016-10-06,0.0021617587874932726,0.0016159739014413776,0.001355284297296008
2016-10-07,-0.0011021477391348691,-0.0011293387020472581,-0.00023402889530391646
2016-10-10,0.00010671302151787386,0.00017339673683763345,0.0011796098293392994
2016-10-11,-0.0008650602825947577,-0.00015553348923948358,-0.0037293405479069445
2016-10-12,0.003338777435233382,0.0037625511566290403,-0.0021973699035017736
2016-10-13,0.0003984420225199499,0.0008415664750955149,-0.001166008646460267
2016-10-14,0.0007487994493250047,0.0003394402019223662,0.0014481782102388537
2016-10-17,0.0017367775357028821,0.002086527758156037,0.0015991518167760993
2016-10-18,-0.0030273038324219285,-0.0037778225996438187,0.0006929081158286519
2016-10-19,-0.004037271801599413,-0.00432335989073521,-0.002478313378881098
2016-10-20,-0.0012001306751441162,-0.001838212655112895,0.001475858204618892
2016-10-21,-0.0031243460559087907,-0.003161013467160839,-0.003431476994343043
2016-10-24,0.0038498008547062502,0.0034845475696549505,0.0023962016737023415
2016-10-25,0.0019320817061579429,0.002530067976562013,0.002482309477792277
2016-10-26,-0.004137846976541723,-0.003927555091671219,-0.004003405461973393
2016-10-27,-0.004026186348646349,-0.0036751690926941872,-0.0009342713366467918
2016-10-28,0.0007340536817153843,0.0018456487655543778,-0.0023845822660746923
2016-10-31,0.006089122646494183,0.006273599310070859,0.002506715104155699
2016-11-01,-0.0024167621252196778,-0.0023398112680909472,0.0004294021721100665
2016-11-02,-0.0014462001204407669,-0.0010471527699960057,-0.0046949164111630085
2016-11-03,0.0009760871687695781,0.0014381632059641204,0.0009240810676478349
2016-11-04,-0.0020394349552271436,-0.002157365376906912,-0.002037183431752732
2016-11-07,-0.00042906457402471437,-0.0015275724070236566,0.003916268523957284
2016-11-08,0.0005202098472155687,0.0004800635802314012,-0.0005610267391356667
2016-11-09,-0.01488858751800324,-0.01484447781159346,-0.0023136361093774017
2016-11-10,-0.007868095952300484,-0.008370772197983697,-0.005716744229192862
2016-11-11,0.005435667050174437,0.0050548478251018995,0.00854002351700417
2016-11-14,-0.006618612547668443,-0.006459360158966138,-0.001547872776851101
2016-11-15,0.004428771409755519,0.00393768283940941,0.0058905705989378805
2016-11-16,0.005221937601558845,0.00503025216123213,0.00353957502151164
2016-11-17,0.0014845739539422764,0.0002760973226213306,0.003857588687620919
2016-11-18,0.00276366332388801,0.002597907762436706,0.0025860149419285583
2016-11-21,0.0034716529893173823,0.0025098138070672724,0.0036435529530682987
2016-11-22,0.0014064649044491103,0.0010698546854056264,-0.000805008588969893
2016-11-23,0.0020773843823429987,0.0015195016682285425,-0.0006647656170804146
2016-11-25,2.0060586168809523e-05,0.0003284962850788317,-0.00038179868648676645
2016-11-28,0.003118218507787083,0.003878759879708421,0.0004764187244281638
2016-11-29,0.001911929421881741,0.0025492006362231425,0.0010179076165137057
2016-11-30,0.0002992518184639132,-0.000580146825593935,0.001369020380984263
2016-12-01,-0.008463925163257528,-0.007053150019333073,-0.01023108823677893
2016-12-02,0.004826478805210544,0.0045071330892701295,0.0028396470148643062
2016-12-05,-0.0009428704702591522,-0.001268111149426851,0.0021608573681585986
2016-12-06,0.0018100403226479242,0.0009336999833182913,0.0034099093072393525
2016-12-07,0.004018841647024678,0.0035704696451203818,0.003553600814961771
2016-12-08,0.001919358205471182,0.00037002529182604505,0.0031940490728552392
2016-12-09,-0.0020985507163761006,-0.001235392310799643,-0.0032182434618230637
2016-12-12,-0.0016485945426666909,0.00039210271072476937,-0.004470655227109407
2016-12-13,-0.001454155133418627,-0.001715590623638823,-0.0018429153409880886
2016-12-14,8.434298347121708e-05,-0.00029680864216329234,0.002012183424199353
2016-12-15,0.003219383135557076,0.0024519830416017637,0.0032868898763040977
2016-12-16,-0.004224420474821296,-0.003240366757809818,-0.004011530281621414
2016-12-19,0.0011175100449763867,0.001619548491498113,0.0012826115465214378
2016-12-20,0.0036277363917929027,0.0028947589979516288,0.003305425590407679
2016-12-21,0.0013098420346622662,0.0011748330997590018,0.0007686497227354854
2016-12-22,0.002275458167829117,0.002057706220209737,0.0019858199854792366
2016-12-23,-0.0014036402729711355,-0.0021047485505796804,-0.00031467062913779847
2016-12-27,0.003464891504206293,0.002713612613042814,0.003388945809421315
2016-12-28,-0.003705293378379093,-0.0028577230249346576,-0.004073841434021601
2016-12-29,-0.0013810523883628736,-0.0005787742096354728,-0.001702023153239235
2016-12-30,-0.0011235345998026403,-0.0007941286414992924,-0.0016341631990281864
2017-01-03,-0.001141039981237905,-0.002418982299191817,-0.0016527816345970597
2017-01-04,-0.0007018890559887984,-0.00166002395384186,-0.0017519252083778999
2017-01-05,-0.004427789919460771,-0.004568291790945599,-0.004394114246244472
2017-01-06,0.0022893489187517306,0.0017121016481077631,0.0010094509773702987
2017-01-09,0.00044391647954576696,-6.037560463371796e-05,-0.0002445242947228004
2017-01-10,9.930019551741964e-05,-0.0005697519251498586,-0.0012062102202223565
2017-01-11,0.004371291305882194,0.0035711220506501754,0.004327633770010507
2017-01-12,-0.003013836066991339,-0.002508923135033635,-0.003165117810493392
2017-01-13,0.0013866980193573172,-1.1897740622677822e-05,0.0007787030533198281
2017-01-17,-0.00908570948200544,-0.007750175820866707,-0.00922751811842362
2017-01-18,0.0035271549637129057,0.002484416073723774,0.0031442214416521536
2017-01-19,0.0013104621012714824,0.0005858545956485591,0.000888307645997233
2017-01-20,0.0030997288835523788,0.0028773793084956277,0.0033316594831072264
2017-01-23,-0.0008499369422869263,-0.0004846565638148209,-0.0020884130041904504
2017-01-24,0.007385708532300777,0.0066574521387879875,0.0075931017684740315
2017-01-25,0.0030107054004563987,0.0021205297729673046,0.002492450476942568
2017-01-26,0.0028208985303894087,0.003075679854097981,0.0019645797627609657
2017-01-27,0.0010254887095117117,0.00041720997299149275,0.0006375173452342012
2017-01-30,-0.003996934025155617,-0.003677095430097269,-0.004134713636559894
2017-01-31,-0.0070410372940225615,-0.009001067418721555,-0.007086086301289409
2017-02-01,0.006131115507381796,0.004896714816866954,0.007761362400002989
2017-02-02,-0.0020224474112479304,-0.0017282091946314658,-0.004363711367374041
2017-02-03,0.002154606192707132,0.002037970164268867,0.00410902620499865
2017-02-06,0.0019328727520465648,0.0014785177185949183,0.0021312476419668267
2017-02-07,-0.0005613725424891443,-0.0008595642943321188,-0.0002872667152538929
2017-02-08,-0.0010992171002597527,-0.001266470499714103,-0.0012213971592732584
2017-02-09,-0.00025540927869961624,-0.0006481598206298373,0.0007048170194651043
2017-02-10,-0.000252559704004571,-0.00026922572228444693,-0.00044705545577300915
2017-02-13,-0.0003470880856229073,-6.41776385475031e-05,0.00041665238129407037
2017-02-14,-0.0014883618582396275,-0.0011766738060093574,-0.001127211323874923
2017-02-15,0.00010545034437257939,0.00014456157176608532,-0.0009604156830915365
2017-02-16,-0.0015484751481506184,-0.00017732722176157185,-0.00200334394977795
2017-02-17,-0.0008012126963276847,-0.0008128956722542544,-0.0011191293682928725
2017-02-21,0.0026457687070546698,0.0022108514228748556,0.0030779100723212173
2017-02-22,-4.406066854635359e-05,-8.588597506792053e-05,8.836779733615167e-05
2017-02-23,-0.005007353376727809,-0.003964123389227647,-0.0062444675922893236
2017-02-24,-0.003141295514884575,-0.002786824783356904,-0.00440905364627732
2017-02-27,0.004139085042380059,0.004261027239946197,0.003697708616152261
2017-02-28,-0.0022970633135591043,-0.002422921883985738,-0.0016423538855012169
2017-03-01,0.009623514541778953,0.009164846730335819,0.004485517165739375
2017-03-02,-0.006338518713866011,-0.005819805075678757,-0.006216569736494013
2017-03-03,0.0012550010141032229,0.0011230771570443529,0.00067273299808438
2017-03-06,0.000892838298597485,0.00070042233601037,0.0009234023937628712
2017-03-07,0.0013662800760988298,0.0015990159459110577,0.0010905021549425591
2017-03-08,-0.0017303234396696331,-0.0017547222477560603,-0.0022331850732590737
2017-03-09,0.000351917712041317,6.569970880233616e-05,-0.000529437366629791
2017-03-10,0.0005690610808516211,0.0005266975301694943,0.0004785075975675296
2017-03-13,0.0030411204499696228,0.0029058383135825705,0.003551871656212567
2017-03-14,-0.0017721400809350078,-0.0015973324675794026,-0.0011677739353581776
2017-03-15,-0.002265225283081202,-0.0026178243664913294,-0.0028199431577849263
2017-03-16,0.0009914652179841546,0.000882875098697751,0.0025612162835166466
2017-03-17,-0.00107380173086959,-0.0006325138149902026,-0.00038253444458243155
2017-03-20,0.002393644823128135,0.002290098342747599,0.0017737009134726651
2017-03-21,-0.008078645227431116,-0.0068263443989701675,-0.008279713411751908
2017-03-22,0.002722963332529175,0.0024701318933023505,0.0023497940176286486
2017-03-23,0.0006398517147561859,0.0004883131285898896,0.00021711790964005698
2017-03-24,0.0013241404870600467,0.0008191809274530761,0.0010771637630985057
2017-03-27,-0.0014959269241806852,-0.0016832620891774936,-0.000929280803571931
2017-03-28,0.0010799314610296755,0.00045116251364275134,0.0029467441500673586
2017-03-29,-0.001688581194059397,-0.0035355324393435044,-0.004982682070947434
2017-03-30,0.0021478373333002863,0.0014817498918558334,0.00439897660445509
2017-03-31,-1.8337761151992818e-05,-0.0002627270112881196,-0.0015172691700149257
2017-04-03,-0.0007289004015404512,-0.0003951006421407694,0.0014323291860448121
2017-04-04,-0.0019342868287637147,-0.0020663677408068034,-0.00252791857070231
2017-04-05,-0.002138608945720249,-0.002144038220717252,-0.002472136864716726
2017-04-06,-0.00026517527805466646,-0.0006720107371280199,0.00018490545982890541
2017-04-07,-0.0005627142255522308,-0.0006572442624501232,-0.0007089079371340023
2017-04-10,-0.0023977450107447226,-0.0026902645363063244,-0.0018855620667053582
2017-04-11,-0.0016396243807885154,-0.0015668517561822678,-0.0010663263668781835
2017-04-12,-0.005441113818362228,-0.004181733096164108,-0.005508139284020416
2017-04-13,-0.0014911448893837624,-0.0016611844476371901,-0.0012441860919432247
2017-04-17,0.005042861504013164,0.004823804030002703,0.004863900492514511
2017-04-18,-0.0012683338248719075,-0.0010659117477305228,-0.0012329264573843974
2017-04-19,0.00203517580278988,0.001397676527663346,0.0010583123237405847
2017-04-20,0.0022714900696604976,0.0028482407030472816,0.003729019148303421
2017-04-21,-0.0009086501239583235,-0.0003970499921654929,-1.8099733122984816e-05
